id,user_id,wallet_id,category_id,type,amount,note,occurred_at,created_at,updated_at
39a63113-7ba3-473d-ad7f-cb7f267e4ccc,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,4f6cef8a-e1a1-4bd7-a0ae-51a86bd3475f,INCOME,3000000.00,,2025-10-23 23:20:41+00,2025-10-24 16:21:05+00,2025-12-25 17:18:07.228183+00
48b3d73a-2d59-442b-8b3b-227a20f8d00a,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,f7080c5c-d20b-486c-b7ef-de23ccd673ee,EXPENSE,2970000.00,,2025-10-26 23:45:38+00,2025-10-27 16:46:04+00,2025-12-25 17:18:51.527445+00
4dedf625-5b70-43f8-9879-8106a69f4c29,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,5e3d2c7f-c151-44e3-929f-e8a43cca12f7,EXPENSE,1500000.00,Lý do dùng hũ dự phòng: coa,2025-12-17 20:32:10.158+00,2025-12-17 13:32:51.085468+00,2025-12-17 13:32:51.085468+00
4e3f4a4b-406c-4e1b-8556-b03fbc656e56,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,ad9b8d9a-051d-44b8-9830-b22be7582299,INCOME,500000.00,,2025-12-17 19:49:03.36+00,2025-12-17 12:49:25.173537+00,2025-12-17 12:49:25.173537+00
53155280-8385-4b71-8042-ee267f32aae6,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,584434fa-048f-47df-bf46-5cb3e1279370,EXPENSE,30000.00,,2025-11-27 23:14:43+00,2025-11-28 16:15:04+00,2025-12-23 03:40:26.453974+00
5541592a-4529-4b67-92cc-a7fc03b0d213,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,ad9b8d9a-051d-44b8-9830-b22be7582299,INCOME,50000.00,,2025-12-25 20:10:16.739+00,2025-12-25 13:10:26.118335+00,2025-12-25 13:10:26.118335+00
564d1b9d-8ee6-460e-8b5d-5e4f4a18c782,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,f7790789-1ec8-40b5-9459-88017ecbaa7e,EXPENSE,50000.00,,2025-12-24 21:33:40.621+00,2025-12-24 14:33:49.201447+00,2025-12-24 14:33:49.201447+00
58353035-1599-4b32-968c-d803c75693f1,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,ad9b8d9a-051d-44b8-9830-b22be7582299,INCOME,200000.00,,2025-12-24 20:58:58.766+00,2025-12-24 13:59:12.412815+00,2025-12-24 13:59:12.412815+00
628628c6-f201-40b8-998e-4c7dc004d7da,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,4f6cef8a-e1a1-4bd7-a0ae-51a86bd3475f,INCOME,10000000.00,,2025-10-22 23:46:41+00,2025-10-23 16:46:54+00,2025-12-25 17:19:15.464391+00
6b224ee6-1d85-4578-9d4c-bb6b41f98d0b,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,2c6ce9f3-6101-422c-8875-3be42499a63f,EXPENSE,50000.00,,2025-12-17 19:52:21.234+00,2025-12-17 12:52:37.243961+00,2025-12-17 12:52:37.243961+00
78412af7-c390-4ccc-9264-2b4523fa89d3,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,3d1bf0c2-5960-4cb3-b421-8ad3b53a771f,INCOME,3000000.00,,2025-12-24 21:02:56.23+00,2025-12-24 14:03:10.992984+00,2025-12-24 14:03:10.992984+00
7dcecb5e-c861-409e-85e9-91606204493a,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,2c6ce9f3-6101-422c-8875-3be42499a63f,EXPENSE,50000.00,,2025-12-17 19:51:46.218+00,2025-12-17 12:52:11.674369+00,2025-12-17 12:52:11.674369+00
8031a6b5-8320-4439-b6b3-9704cd48f202,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,f7790789-1ec8-40b5-9459-88017ecbaa7e,EXPENSE,70000.00,,2025-12-25 22:12:56.53+00,2025-12-25 15:13:08.031313+00,2025-12-25 15:13:08.031313+00
9ac13886-e2e1-4a49-b6b8-216f6bbd562d,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,3d1bf0c2-5960-4cb3-b421-8ad3b53a771f,INCOME,220000.00,,2025-12-25 20:14:40.849+00,2025-12-25 13:14:52.12917+00,2025-12-25 13:14:52.12917+00
9f20bc38-6bf8-4e46-94e5-79c264693f81,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,25edcea1-b992-4ac6-baa6-4eed12ed671c,EXPENSE,700000.00,,2025-12-17 19:48:02.249+00,2025-12-17 12:48:28.993872+00,2025-12-17 12:48:28.993872+00
9f503742-4ba9-4b70-9395-4f2a254dda35,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,5e3d2c7f-c151-44e3-929f-e8a43cca12f7,EXPENSE,300000.00,,2025-11-08 02:17:20+00,2025-11-07 19:17:58+00,2025-12-23 03:43:18.684813+00
a3e5bbd3-2762-4ce8-8650-eb4f6fd938e3,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,4f6cef8a-e1a1-4bd7-a0ae-51a86bd3475f,INCOME,12000000.00,,2025-12-17 19:59:52.4+00,2025-12-17 13:00:14.748961+00,2025-12-17 13:00:14.748961+00
a880863d-0fcd-4e48-ade4-4be7524aa796,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,10701131-3011-4efa-b714-3753d66370fd,EXPENSE,800000.00,,2025-12-26 00:11:02.422+00,2025-12-25 17:11:23.380021+00,2025-12-25 17:11:23.380021+00
ba24dfbb-5520-4dce-96a9-ad5961cf8235,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,f7790789-1ec8-40b5-9459-88017ecbaa7e,EXPENSE,50000.00,,2025-12-17 19:48:40.773+00,2025-12-17 12:48:57.270398+00,2025-12-17 12:48:57.270398+00
c09fa883-0187-4f19-a803-97c02f2bab95,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,2c6ce9f3-6101-422c-8875-3be42499a63f,EXPENSE,300000.00,,2025-12-24 00:00:00+00,2025-12-24 13:58:15.592867+00,2025-12-24 13:58:15.592867+00
d884c67a-e216-4bdf-a944-2ed480223987,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,f7790789-1ec8-40b5-9459-88017ecbaa7e,EXPENSE,65000.00,,2025-12-25 20:09:39.57+00,2025-12-25 13:09:51.954198+00,2025-12-25 13:09:51.954198+00
e630c457-123b-4cf4-a0c8-bd5075946b6e,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,4f6cef8a-e1a1-4bd7-a0ae-51a86bd3475f,INCOME,1000000.00,,2025-10-30 00:00:00+00,2025-12-25 17:20:20.079298+00,2025-12-25 17:21:22.942554+00
e67e4ebc-20b1-41f2-9ba3-7e85432a7cfc,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,9e10f478-adcb-4711-b44f-91dc5c119512,INCOME,500000.00,,2025-11-20 02:30:00+00,2025-11-19 19:31:03+00,2025-12-23 03:41:41.280415+00
f1feabbc-086a-4210-8210-f9b59f0fa450,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,ad9b8d9a-051d-44b8-9830-b22be7582299,INCOME,550000.00,,2025-12-24 21:45:27.644+00,2025-12-24 14:45:43.110397+00,2025-12-24 14:45:43.110397+00
f4987c90-f175-4c3b-9bdf-df1ae665179a,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,6b5429d8-dec1-455a-8b15-56495da34d1e,EXPENSE,700000.00,,2025-12-17 19:44:46.454+00,2025-12-17 12:47:30.120691+00,2025-12-17 12:47:30.120691+00
f4a3dad7-1753-4338-b997-e1fedc892400,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,584434fa-048f-47df-bf46-5cb3e1279370,EXPENSE,50000.00,,2025-11-14 23:52:50+00,2025-11-15 16:53:04+00,2025-12-23 03:42:06.29359+00
f5d4bcdb-2059-43ee-8317-fdd727ba4ac2,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,5e3d2c7f-c151-44e3-929f-e8a43cca12f7,EXPENSE,1500000.00,,2025-12-17 20:00:32.859+00,2025-12-17 13:02:34.19662+00,2025-12-17 13:02:34.19662+00
f831a1aa-4904-4fb8-adcc-3df7c21fca11,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,ad9b8d9a-051d-44b8-9830-b22be7582299,INCOME,20000.00,,2025-12-25 22:13:54.259+00,2025-12-25 15:14:04.128644+00,2025-12-25 15:14:04.128644+00
fab9ad8e-fa27-4be6-9c5f-ed9a66684a20,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,584434fa-048f-47df-bf46-5cb3e1279370,EXPENSE,30000.00,,2025-12-25 20:09:25.195+00,2025-12-25 13:09:33.367017+00,2025-12-25 13:09:33.367017+00
fd4ca258-44ff-471c-8c62-51eb0e0595c6,72ea62e1-6e68-4797-8f11-4dc748a68682,5c336a9d-1290-4e11-8612-5028f5c7dd54,584434fa-048f-47df-bf46-5cb3e1279370,EXPENSE,200000.00,,2025-12-24 20:14:45.284+00,2025-12-24 13:15:02.004348+00,2025-12-24 13:15:02.004348+00
